year,lga_name,charge_status_name,incident_count
2022,Pyrenees,No charges laid,49
2022,Pyrenees,Unsolved,153
2022,Queenscliffe,Charges laid,28
2022,Queenscliffe,No charges laid,17
2022,Queenscliffe,Unsolved,73
2022,South Gippsland,Charges laid,536
2022,South Gippsland,No charges laid,255
2022,South Gippsland,Unsolved,403
2022,Southern Grampians,Charges laid,436
2022,Southern Grampians,No charges laid,167
2022,Southern Grampians,Unsolved,196
2022,Stonnington,Charges laid,1937
2022,Stonnington,No charges laid,1231
2022,Stonnington,Unsolved,4652
2022,Strathbogie,Charges laid,173
2022,Strathbogie,No charges laid,97
2022,Strathbogie,Unsolved,176
2022,Surf Coast,Charges laid,334
2022,Surf Coast,No charges laid,219
2022,Surf Coast,Unsolved,496
2022,Swan Hill,Charges laid,828
2022,Swan Hill,No charges laid,494
2022,Swan Hill,Unsolved,374
2022,Towong,Charges laid,35
2022,Towong,No charges laid,30
2022,Towong,Unsolved,83
2022,Wangaratta,Charges laid,789
2022,Wangaratta,No charges laid,395
2022,Wangaratta,Unsolved,471
2022,Warrnambool,Charges laid,988
2022,Warrnambool,No charges laid,483
2022,Warrnambool,Unsolved,736
2022,Wellington,Charges laid,1159
2022,Wellington,No charges laid,756
2022,Wellington,Unsolved,1049
2022,West Wimmera,Charges laid,52
2022,West Wimmera,No charges laid,41
2022,West Wimmera,Unsolved,58
2022,Whitehorse,Charges laid,1579
2022,Whitehorse,No charges laid,832
2022,Whitehorse,Unsolved,3048
2022,Whittlesea,Charges laid,3028
2022,Whittlesea,No charges laid,2072
2022,Whittlesea,Unsolved,3839
2022,Wodonga,Charges laid,917
2022,Wodonga,No charges laid,560
2022,Wodonga,Unsolved,1205
2022,Wyndham,Charges laid,3868
2022,Wyndham,No charges laid,1978
2022,Wyndham,Unsolved,6248
2022,Yarra,Charges laid,2351
2022,Yarra,No charges laid,1278
2022,Yarra,Unsolved,5161
2022,Yarra Ranges,Charges laid,1613
2022,Yarra Ranges,No charges laid,1290
2022,Yarra Ranges,Unsolved,2083
2022,Yarriambiack,Charges laid,128
2022,Yarriambiack,No charges laid,74
2022,Yarriambiack,Unsolved,102
